;0
0;6
1;6
2;19
3;19
4;27
5;27
6;34
7;34
8;34
9;34
10;34
11;47
12;57
13;71
14;84
15;84
16;94
17;94
18;101
19;101
20;109
21;109
22;124
23;135
24;176
25;185
26;185
27;203
28;203
29;249
30;263
31;263
32;278
33;306
34;315
35;331
36;331
37;337
38;363
39;363
40;367
41;367
42;367
43;367
44;367
45;367
46;374
47;388
48;401
49;401
50;401
51;401
52;401
53;412
54;423
55;423
56;432
57;443
58;443
59;462
60;462
61;462
62;462
63;469
64;492
65;510
66;516
67;528
68;528
69;528
70;528
71;542
72;542
73;557
74;564
75;578
76;578
77;602
78;612
79;612
80;612
81;617
82;623
83;628
84;628
85;631
86;631
87;631
88;639
89;652
90;666
91;672
92;690
93;690
94;701
95;701
96;714
97;714
98;714
99;714
